sample_id,temperature,variation_id,label,source_text,variation_text,delta_score_2gram,delta_entropy_2gram,delta_variance_2gram,delta_score_3gram,delta_entropy_3gram,delta_variance_3gram,delta_score_4gram,delta_entropy_4gram,delta_variance_4gram,delta_score_5gram,delta_entropy_5gram,delta_variance_5gram
0,0.5,1,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does loss of consciousness indicate neuropsychological decline following a concussion? The findings of this study challenge the significance of LOC as a predictor of long-term neuropsychological impairments. While LOC is commonly considered a marker of concussion severity, our results imply that other factors might have a greater impact on cognitive recovery.",1.1842986367842703e-07,0.07010482778396376,0.0181755829903978,0.009067132323909363,0.0971637484536485,0.0,0.009054007704764333,0.09909090264422993,0.0,1.1842986367842703e-07,0.10109611687136999,0.0
0,0.5,2,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is loss of consciousness a predictor of neuropsychological deficits after a concussion? This study's results question the role of LOC in forecasting long-term neuropsychological damage. Although LOC is frequently used to gauge concussion severity, our data suggest other variables could be more crucial for cognitive recovery.",2.3685972735685406e-07,0.17546534344178966,0.0181755829903978,0.018134264647818726,0.2047944126460135,0.0,0.018108015409528666,0.2090917978585587,0.0,2.3685972735685406e-07,0.21357410029806,0.0
0,0.5,3,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Can loss of consciousness predict neuropsychological impairments post-concussion? The study's findings undermine the importance of LOC as a long-term predictor of neuropsychological deficits. Despite its frequent use as a severity marker, LOC may be less critical than other factors in cognitive recovery.",3.316036182995957e-07,0.3023678240960912,0.0061994170096022,0.025387970506946217,0.30010459245033916,0.0,0.025351221573340132,0.30673026742247655,0.0,3.316036182995957e-07,0.31365755885504143,0.0
0,0.5,4,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does experiencing loss of consciousness forecast neuropsychological decline after a concussion? The study casts doubt on LOC's value as a predictor of lasting neuropsychological deficits. LOC is often used to assess concussion severity, but our findings indicate other factors may play a more important role.",2.6054570009253947e-07,0.19793819929384737,0.0181755829903978,0.0199476911126006,0.22778393087071303,0.0,0.019918816950481533,0.2326222952687531,0.0,2.6054570009253947e-07,0.23767165187712003,0.0
0,0.5,5,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is loss of consciousness a reliable predictor of neuropsychological decrements following concussion? The research questions the predictive power of LOC for long-term neuropsychological issues. Although LOC is commonly seen as a concussion severity marker, other elements may be more influential in cognitive recovery.",3.079176455639103e-07,0.2444582149287413,0.0181755829903978,0.023574544042164344,0.27541197985996746,0.0,0.023540420032387266,0.2814124594381848,0.0,3.079176455639103e-07,0.28768207245178345,0.0
0,0.5,6,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does loss of consciousness serve as an indicator for neuropsychological deficits after concussion? This study suggests LOC may not be a significant predictor of long-term neuropsychological problems. While LOC is often a severity marker, our findings propose that other factors could be more pivotal in cognitive recovery.",2.1317375462116866e-07,0.15348643672301465,0.0181755829903978,0.016320838183036854,0.18232155679395579,0.0,0.0162972138685758,0.18610227963385917,0.0,2.1317375462116866e-07,0.1900436028878656,0.0
0,0.5,7,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Can loss of consciousness be used to predict neuropsychological outcomes post-concussion? The results challenge the importance of LOC as a predictor of enduring neuropsychological deficits. LOC is typically a marker of severity, but other factors might have greater influence on cognitive recovery.",3.316036182995957e-07,0.26855576650780133,0.0181755829903978,0.025387970506946217,0.30010459245033916,0.0,0.025351221573340132,0.30673026742247655,0.0,3.316036182995957e-07,0.31365755885504143,0.0
0,0.5,8,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is loss of consciousness a key predictor of neuropsychological decline after concussion? The study's findings question LOC’s role in predicting long-term neuropsychological deficits. Although it is used as a severity marker, other factors may be more critical for recovery.",4.026615365066517e-07,0.34454167348572273,0.0181755829903978,0.030828249901291835,0.37806613392004973,0.0,0.030783626196198732,0.3867729750960107,0.0,4.026615365066519e-07,0.39589565709201446,0.0
0,0.5,9,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Does loss of consciousness predict long-term neuropsychological deficits following concussion? The study casts doubt on the significance of LOC as a predictor of such deficits. LOC is often used as a marker of severity, but our findings highlight the potential importance of other factors in cognitive recovery.",2.1317375462116866e-07,0.1836232706604033,0.0035528120713305966,0.016320838183036854,0.18232155679395579,0.0,0.0162972138685758,0.18610227963385917,0.0,2.1317375462116866e-07,0.1900436028878656,0.0
0,0.5,10,ai,"Question: Does loss of consciousness predict neuropsychological decrements after concussion? Answer: The results of this study cast doubt on the importance of LOC as a predictor of long-term neuropsychological deficits. Although LOC is often used as a marker of concussion severity, our findings suggest that other factors may play a more significant role in cognitive recovery. 
","Is loss of consciousness an accurate predictor of neuropsychological decrements after a concussion? The results suggest that LOC may not be as important in predicting long-term neuropsychological deficits. While LOC is frequently used as a severity indicator, other factors might play a more substantial role in cognitive recovery.",1.8948778188548325e-07,0.1319802315020513,0.0181755829903978,0.014507411718254981,0.16034265007518078,0.0,0.014486412327622933,0.16362942378180145,0.0,1.8948778188548325e-07,0.16705408466316607,0.0
1,0.5,1,ai,"Question: Transgastric endoscopic splenectomy: is it possible? Answer: Transgastric endoscopic splenectomy in a porcine model appears technically feasible. This novel approach involves accessing the spleen through the stomach, allowing for minimally invasive removal. The study demonstrates promising results, suggesting potential benefits over traditional laparoscopic surgery. 
","Is transgastric endoscopic splenectomy feasible? The procedure seems technically achievable in a porcine model, involving spleen access via the stomach for minimally invasive removal, showing promising results and potential advantages over conventional laparoscopic methods.",2.605457000925387e-07,0.2561753824263291,0.02271498107084911,0.01994769111260062,0.29546421289383584,0.0,0.01991881695048156,0.30368241379822125,0.0,2.6054570009253947e-07,0.31237468504215293,0.0
